combined_key,ASIN,BRAND,MARKETPLACE,reg_slope,kmeans_label,hdbscan_label
Espring__US__B09FLHCNMQ,B09FLHCNMQ,Espring,US,-0.28242150555803597,2,9
H&S__UK__B072LXQPCH,B072LXQPCH,H&S,UK,-0.00764438020579002,6,2
H&S__DE__B06Y51KHKW,B06Y51KHKW,H&S,DE,-0.024160732451678556,6,2
H&S__DE__B07VNGCG2J,B07VNGCG2J,H&S,DE,-0.03510583376355177,0,5
Tritart__DE__B08Q34XNJF,B08Q34XNJF,Tritart,DE,-0.18996040065222455,0,5
Espring__DE__B09WJ1JKWP,B09WJ1JKWP,Espring,DE,0.0,2,-1
H&S__DE__B07D25PJS4,B07D25PJS4,H&S,DE,-0.03007380073800741,6,-1
Espring__ES__B08ZC82Q8Q,B08ZC82Q8Q,Espring,ES,-0.38909090909090915,5,7
H&S__IT__B01K1135UO,B01K1135UO,H&S,IT,-0.004142606075822265,7,-1
H&S__UK__B00C13AZEK,B00C13AZEK,H&S,UK,-0.0354712508526272,4,0
H&S__UK__B00C13AZEK,B00C13AZEK,H&S,UK,-0.0354712508526272,4,0
H&S__US__B06Y2MZH39,B06Y2MZH39,H&S,US,-0.01036116074074038,2,-1
Espring__IT__B018I2DWPQ,B018I2DWPQ,Espring,IT,0.16866666666666644,2,9
Espring__US__B08JCVX1WY,B08JCVX1WY,Espring,US,-1.1854245367030067,2,9
H&S__ES__B016CQV2E8,B016CQV2E8,H&S,ES,-0.007882403067746062,5,7
H&S__UK__B00MVG3X6Y,B00MVG3X6Y,H&S,UK,0.0015580656704251808,1,-1
Espring__DE__B019DWX2Y6,B019DWX2Y6,Espring,DE,-1.0964008489647982e-32,2,-1
Tritart__IT__B072HKHJJS,B072HKHJJS,Tritart,IT,-1.2456520092389565e-31,2,-1
H&S__IT__B01MXVFWJM,B01MXVFWJM,H&S,IT,0.0,7,-1
Espring__DE__B01JP1QDKU,B01JP1QDKU,Espring,DE,-0.21168264388824648,1,1
H&S__DE__B07DW2WX4N,B07DW2WX4N,H&S,DE,-0.11666666666666664,0,5
H&S__DE__B07D72GCWP,B07D72GCWP,H&S,DE,-0.1409968421395318,0,5
H&S__DE__B06XS97SKH,B06XS97SKH,H&S,DE,0.2887745839636916,6,-1
Tritart__IT__B0829BCTTX,B0829BCTTX,Tritart,IT,0.37420094077915794,0,5
Espring__ES__B0727Q3H5D,B0727Q3H5D,Espring,ES,0.021527498996387,2,9
H&S__US__B07CNDR86T,B07CNDR86T,H&S,US,9.813077866773593e-18,6,2
Espring__IT__B0144EOR7E,B0144EOR7E,Espring,IT,-0.05413533834586461,2,9
Tritart__IT__B07SWX3J6S,B07SWX3J6S,Tritart,IT,0.12829046898638427,0,5
Espring__IT__B085F37HBC,B085F37HBC,Espring,IT,-0.019396534942573457,0,5
Tritart__UK__B083KBDRSW,B083KBDRSW,Tritart,UK,-0.33085194354838704,1,4
Espring__IT__B01M15S063,B01M15S063,Espring,IT,0.3704773413897281,4,-1
Espring__DE__B07TTMNMLP,B07TTMNMLP,Espring,DE,-0.09352947242806844,4,0
Espring__IT__B0193JCAKG,B0193JCAKG,Espring,IT,0.37100591715976344,3,-1
Espring__DE__B08D6GR44H,B08D6GR44H,Espring,DE,-0.0,2,-1
H&S__IT__B07CPD18VZ,B07CPD18VZ,H&S,IT,0.009146341463414552,3,3
H&S__US__B07W51S61C,B07W51S61C,H&S,US,0.08043958585714281,0,5
H&S__ES__B01M7RJXEE,B01M7RJXEE,H&S,ES,4.822943630388827e-31,5,7
Tritart__ES__B07DGKQ896,B07DGKQ896,Tritart,ES,-0.19402234636871507,0,5
Espring__UK__B085F37HBC,B085F37HBC,Espring,UK,-0.27462706431542916,0,5
Espring__DE__B088RHVC9K,B088RHVC9K,Espring,DE,-0.1173364245234416,7,8
H&S__ES__B07D25PJS4,B07D25PJS4,H&S,ES,8.894162490841341e-32,6,-1
H&S__US__B07TDLK5W3,B07TDLK5W3,H&S,US,-0.08646309981499259,0,5
Espring__ES__B09LVB5HM6,B09LVB5HM6,Espring,ES,0.1570588235294118,5,6
Espring__DE__B088MFTGV5,B088MFTGV5,Espring,DE,-0.251105216622458,2,9
H&S__US__B01N8XWTUI,B01N8XWTUI,H&S,US,-0.01465205142443107,5,-1
H&S__DE__B01MXVFWJM,B01MXVFWJM,H&S,DE,-0.011303418186020969,7,-1
H&S__UK__B06XS97SKH,B06XS97SKH,H&S,UK,-0.010903506141218147,6,-1
H&S__ES__B07GZ9GH8T,B07GZ9GH8T,H&S,ES,4.199032819662948e-31,3,3
H&S__IT__B06XVJL3NP,B06XVJL3NP,H&S,IT,-1.0,6,2
Espring__IT__B01JP1QDKU,B01JP1QDKU,Espring,IT,-0.13156996587030717,1,1
H&S__UK__B078X4KLL3,B078X4KLL3,H&S,UK,0.0006909668460266298,6,-1
H&S__US__B07CHDHCMR,B07CHDHCMR,H&S,US,0.0,3,-1
Espring__ES__B085F3767Z,B085F3767Z,Espring,ES,-0.0,0,5
H&S__UK__B07DPRTTQ9,B07DPRTTQ9,H&S,UK,-6.5976491273516866e-06,3,3
H&S__UK__B07DPRTTQ9,B07DPRTTQ9,H&S,UK,-6.5976491273516866e-06,3,3
H&S__ES__B07GBK5SQL,B07GBK5SQL,H&S,ES,-0.22416879795396405,2,-1
Tritart__DE__B08Q2TZMVD,B08Q2TZMVD,Tritart,DE,-0.04249051490514905,7,-1
Espring__IT__B085F3767Z,B085F3767Z,Espring,IT,0.0,0,5
H&S__UK__B07DW4QJX7,B07DW4QJX7,H&S,UK,-0.0028499071291748514,2,5
Espring__DE__B07FT9FHCR,B07FT9FHCR,Espring,DE,0.0,1,-1
Espring__ES__B07T7N8DP7,B07T7N8DP7,Espring,ES,0.16666666666666655,7,-1
Espring__ES__B07T83NWZ5,B07T83NWZ5,Espring,ES,0.0,7,-1
Espring__IT__B01LNDMWQC,B01LNDMWQC,Espring,IT,0.3186153846153842,2,9
Espring__US__B08N18QKFK,B08N18QKFK,Espring,US,0.056528482105263234,1,4
H&S__UK__B07VNGCG2J,B07VNGCG2J,H&S,UK,-0.0380177133958394,0,5
H&S__IT__B072JVLVPM,B072JVLVPM,H&S,IT,0.0,7,8
H&S__US__B073ZQFKV4,B073ZQFKV4,H&S,US,-0.0027001728190403883,3,3
Espring__ES__B09M77GSNH,B09M77GSNH,Espring,ES,-0.004166666666666581,6,2
H&S__UK__B00NBCCR0A,B00NBCCR0A,H&S,UK,0.0012977325160581903,1,-1
Espring__IT__B01JA9T2N2,B01JA9T2N2,Espring,IT,-1.2724164844676258e-31,7,-1
H&S__DE__B00BBL0OPS,B00BBL0OPS,H&S,DE,-2.799027552674231,0,5
H&S__US__B01JXX9960,B01JXX9960,H&S,US,-0.28095994271173136,7,8
Tritart__ES__B01LIQ82OA,B01LIQ82OA,Tritart,ES,-0.04553495612793661,0,5
Tritart__ES__B073WBT4V7,B073WBT4V7,Tritart,ES,-4.219354936292654e-31,6,2
H&S__IT__B07JZD2S4S,B07JZD2S4S,H&S,IT,0.0,0,5
Espring__DE__B0872W1YTK,B0872W1YTK,Espring,DE,-0.030436802973977693,1,1
Espring__DE__B015FX4ZZ2,B015FX4ZZ2,Espring,DE,-0.029609690444145336,2,-1
Espring__DE__B0857K4ZDQ,B0857K4ZDQ,Espring,DE,-0.20142421159715151,0,5
H&S__UK__B07DZHXPL6,B07DZHXPL6,H&S,UK,0.0007568382511712211,3,-1
H&S__DE__B06Y4ND43F,B06Y4ND43F,H&S,DE,-0.0,1,1
Espring__DE__B07V2B55JH,B07V2B55JH,Espring,DE,-0.03999999999999999,5,6
Espring__ES__B01LNDMWQC,B01LNDMWQC,Espring,ES,-0.04167938931297708,7,-1
H&S__UK__B01K1135UO,B01K1135UO,H&S,UK,3.9017880349393674e-05,7,8
Espring__DE__B01NCB0U5K,B01NCB0U5K,Espring,DE,-0.06796996374935266,1,-1
H&S__US__B01N3UZDFH,B01N3UZDFH,H&S,US,-0.0501552066891647,5,7
Espring__ES__B01HXOSRYG,B01HXOSRYG,Espring,ES,-0.6912291933418693,1,-1
H&S__ES__B07RSR4B12,B07RSR4B12,H&S,ES,0.0,7,8
Espring__ES__B08DJ4WZWQ,B08DJ4WZWQ,Espring,ES,-0.0,3,-1
Espring__DE__B07TLVG7ZP,B07TLVG7ZP,Espring,DE,0.9473684210526319,7,8
H&S__PL__B07DZHXPL6,B07DZHXPL6,H&S,PL,0.12452955674655648,3,-1
Espring__IT__B019XTF03U,B019XTF03U,Espring,IT,-0.00702702702702688,1,-1
H&S__UK__B07CPD18VZ,B07CPD18VZ,H&S,UK,-0.02062570216533435,3,3
H&S__UK__B07BMZGV4Z,B07BMZGV4Z,H&S,UK,-0.01196437935940813,2,-1
H&S__DE__B072LXQPCH,B072LXQPCH,H&S,DE,0.046406052963430075,6,-1
Tritart__DE__B083DHG56N,B083DHG56N,Tritart,DE,0.021949286846275753,0,5
Tritart__DE__B07V2NRTWB,B07V2NRTWB,Tritart,DE,-0.1250000000000001,0,5
H&S__ES__B07PPM6WDZ,B07PPM6WDZ,H&S,ES,-0.02851296043656211,0,5
Espring__ES__B07TC4YGQ8,B07TC4YGQ8,Espring,ES,-0.8237783375314854,7,-1
H&S__ES__B07DW7R9V8,B07DW7R9V8,H&S,ES,-0.0,6,2
Tritart__DE__B07DJQ81QT,B07DJQ81QT,Tritart,DE,-0.04237612397168547,0,5
H&S__US__B07RF6S3K3,B07RF6S3K3,H&S,US,0.06535352583333333,3,3
H&S__US__B07JHGCQPR,B07JHGCQPR,H&S,US,-0.1047827157580645,0,5
H&S__UK__B07G57DPXZ,B07G57DPXZ,H&S,UK,0.0025661701486033722,7,8
H&S__ES__B07S5KW5WQ,B07S5KW5WQ,H&S,ES,0.0,2,-1
H&S__IT__B016AHAPJC,B016AHAPJC,H&S,IT,-0.5976810239447765,5,7
Espring__IT__B01G488QPC,B01G488QPC,Espring,IT,-0.05141666666666658,1,4
Espring__ES__B093SYNCB3,B093SYNCB3,Espring,ES,-1.2406488549618313,4,0
H&S__IT__B07DPTK7FG,B07DPTK7FG,H&S,IT,-6.183076499363297e-32,1,4
Espring__DE__B07X2L2YSH,B07X2L2YSH,Espring,DE,0.008301130671246612,4,0
Espring__DE__B0872XDGWW,B0872XDGWW,Espring,DE,3.285714285714285,1,1
Espring__ES__B07PXT4CKX,B07PXT4CKX,Espring,ES,-0.048342961386439696,4,0
Tritart__DE__B07VYSC1NR,B07VYSC1NR,Tritart,DE,-0.0,0,5
H&S__DE__B01M7RJXEE,B01M7RJXEE,H&S,DE,-0.3444272445820434,5,7
H&S__UK__B07FMDHYCK,B07FMDHYCK,H&S,UK,-0.03758909300327166,4,-1
H&S__US__B078X4KLL3,B078X4KLL3,H&S,US,-0.03833627129032257,5,-1
H&S__US__B01NATTRD3,B01NATTRD3,H&S,US,-0.0012629171058171967,7,-1
H&S__US__B01K0YPWEY,B01K0YPWEY,H&S,US,-0.08824471560005583,7,8
H&S__ES__B07N8BLMZ7,B07N8BLMZ7,H&S,ES,-5.882076130472366e-32,2,-1
H&S__ES__B00C01Z4BC,B00C01Z4BC,H&S,ES,-2.856492255229928e-32,3,-1
H&S__DE__B07CHDHCMR,B07CHDHCMR,H&S,DE,0.3538043478260869,3,-1
Espring__DE__B09M77GSNH,B09M77GSNH,Espring,DE,-0.17857142857142858,6,2
Espring__ES__B08NDVT5TR,B08NDVT5TR,Espring,ES,-0.0,1,4
Tritart__UK__B082KJ7M34,B082KJ7M34,Tritart,UK,0.030219055434782545,0,5
H&S__DE__B078PYYXBH,B078PYYXBH,H&S,DE,0.3166666666666665,0,5
H&S__ES__B07FMDHYCK,B07FMDHYCK,H&S,ES,-3.790013759742869e-32,4,-1
