ASIN,MARKETPLACE,BRAND_NAME,regression_vals
B014TDD6OU,UK,Espring,"[-0.17436851054753622, 11.39650113562191]"
B014TDD6OU,US,Espring,"[-0.19713717768727268, 12.539104216370902]"
B014TDD6P4,ES,Espring,"[-0.11392857142857142, 7.623928571428571]"
B014TDD6P4,FR,Espring,"[-0.05044897959183729, 7.292448979591837]"
B014TDD94W,DE,Espring,"[1.300299512810638e-31, 8.990000000000002]"
B014TDD94W,ES,Espring,"[-0.0017665550468119917, 9.537321123488006]"
B014TDD94W,IT,Espring,"[-0.02126377663482733, 10.064180749448937]"
B015FX4ZZ2,DE,Espring,"[-0.029609690444145336, 5.0532570659488565]"
B015FX4ZZ2,ES,Espring,"[0.10326086956521756, 6.011739130434783]"
B015FX4ZZ2,FR,Espring,"[-0.18142460382290482, 6.25441757882699]"
B015FX4ZZ2,IT,Espring,"[-0.0639534883720929, 6.164418604651163]"
B015H6NFPS,DE,Espring,"[0.0, 13.49]"
B015H6NFPS,ES,Espring,"[0.0, 15.89]"
B015H6NFPS,FR,Espring,"[-2.7811546611648437e-31, 16.789999999999996]"
B015H6NFPS,IT,Espring,"[0.0, 16.990000000000002]"
B01648O8CM,DE,H&S,"[0.06335335882031676, 13.483719279082466]"
B01648O8CM,ES,H&S,"[-0.0013157894736842294, 17.086842105263166]"
B01648O8CM,FR,H&S,"[-0.29744788426073815, 17.45977875684553]"
B01648O8CM,IT,H&S,"[6.373781041455554e-18, 16.94]"
B01648O8CM,PL,H&S,"[0.14261013867857106, 9.035775406964287]"
B01648O8CM,UK,H&S,"[-0.014015364605692965, 12.827054091594029]"
B01648O8CM,US,H&S,"[-0.29479012923111575, 15.454907050239921]"
B016AHAPJC,DE,H&S,"[-0.4872415425895722, 20.47198032303888]"
B016AHAPJC,ES,H&S,"[-0.18701953371140526, 21.260825456836805]"
B016AHAPJC,FR,H&S,"[0.0, 23.49]"
B016AHAPJC,IT,H&S,"[-0.5976810239447765, 21.690125835909978]"
B016AHAPJC,UK,H&S,"[-0.08589922972331106, 17.76542779195604]"
B016AHAPJC,US,H&S,"[0.05365430761479598, 20.634847131020408]"
B016CQV2E8,DE,H&S,"[-0.032421874999999996, 19.376718750000002]"
B016CQV2E8,ES,H&S,"[-0.007882403067746062, 18.819569663400085]"
B016CQV2E8,FR,H&S,"[0.08490566037735849, 21.48056603773585]"
B016CQV2E8,IT,H&S,"[0.008628127696289869, 22.455918895599655]"
B016CQV2E8,UK,H&S,"[-0.006812465137410761, 18.388801540474137]"
B016CQV2E8,US,H&S,"[-0.1092153540000002, 15.358393171]"
B016JQDRNU,DE,H&S,"[-0.039174189089966754, 18.76026735196303]"
B016JQDRNU,ES,H&S,"[-0.08902759526938227, 17.669040735873853]"
B016JQDRNU,FR,H&S,"[1.629029729121897e-31, 22.990000000000002]"
B016JQDRNU,IT,H&S,"[-0.07793330588719645, 20.248254425689584]"
B016JQDRNU,UK,H&S,"[0.006833815562760962, 17.338316726217464]"
B016JQDRNU,US,H&S,"[-0.03584691710144257, 16.854045670908615]"
B016KSQ5F4,DE,H&S,"[0.07311072056238997, 24.884903339191563]"
B016KSQ5F4,ES,H&S,"[0.0, 18.49]"
B016KSQ5F4,FR,H&S,"[-0.0, 22.99]"
B016KSQ5F4,IT,H&S,"[0.0, 20.49]"
B016KSQ5F4,UK,H&S,"[0.01063418724617782, 16.412068764987634]"
B016KSQ5F4,US,H&S,"[0.12535257451283902, 22.020419175107286]"
B016LHY28G,DE,H&S,"[-0.01895300500246599, 12.68928838159656]"
B016LHY28G,ES,H&S,"[-1.41950074199923e-31, 15.490000000000002]"
B016LHY28G,FR,H&S,"[-0.2149122807017543, 21.954912280701755]"
B016LHY28G,IT,H&S,"[0.0, 23.99]"
B016LHY28G,PL,H&S,"[0.08935479160000027, 7.76724708]"
B016LHY28G,UK,H&S,"[-0.00084975713357411, 11.018766742778023]"
B017DIQL0O,DE,Espring,"[-0.0361459434959964, 14.492847862214838]"
B017DIQL0O,ES,Espring,"[-4.68653212232964e-31, 15.789999999999997]"
B017DIQL0O,FR,Espring,"[2.6614106823881495e-31, 17.289999999999996]"
B017DIQL0O,IT,Espring,"[0.0, 17.99]"
B017DIQL0O,UK,Espring,"[-0.09675762131474108, 12.50459942957066]"
B017GLNHEG,DE,H&S,"[0.051032050617155905, 14.049226221346332]"
B017GLNHEG,ES,H&S,"[0.27715355805243436, 14.885131086142323]"
B017GLNHEG,FR,H&S,"[0.10168067226890755, 17.824453781512606]"
B017GLNHEG,IT,H&S,"[-0.0739516483516484, 16.851674725274727]"
B017GLNHEG,UK,H&S,"[-0.01044795696984078, 16.212475469120733]"
B017GLNHEG,US,H&S,"[-0.8444880625925926, 18.934985802592596]"
B017GLWKXK,DE,H&S,"[-0.006903353057199205, 13.093550295857986]"
B017GLWKXK,ES,H&S,"[-0.009426708341238847, 14.81734843870143]"
B017GLWKXK,FR,H&S,"[-0.114193397695422, 17.234113983182812]"
B017GLWKXK,IT,H&S,"[-0.23777173913043453, 16.104130434782608]"
B017GLWKXK,UK,H&S,"[0.00270425809150147, 11.547007907196253]"
B017GLWKXK,US,H&S,"[-0.0005435356800000475, 11.016735195617779]"
B017L0A6K0,DE,Espring,"[-0.32356637863315, 12.948287509819322]"
B017L0A6K0,ES,Espring,"[-0.8174129353233831, 14.693980099502493]"
B017L0A6K0,FR,Espring,"[-0.31012201885745977, 15.090471436494736]"
B017L0A6K0,IT,Espring,"[-0.05822446555819481, 14.652559382422794]"
B018ASUHVU,DE,Espring,"[-9.547164089363497e-33, 12.989999999999998]"
B018ASUHVU,ES,Espring,"[-0.2664957865168536, 16.330568820224716]"
B018ASUHVU,FR,Espring,"[-0.13417427969079396, 16.553612087139847]"
B018ASUHVU,IT,Espring,"[-0.03396278187986426, 16.031022251047695]"
B018I2DWPQ,DE,Espring,"[2.953584870901939e-32, 12.989999999999998]"
B018I2DWPQ,ES,Espring,"[-0.006896551724137785, 13.996896551724141]"
B018I2DWPQ,FR,Espring,"[-0.03520103761348905, 15.421776913099869]"
B018I2DWPQ,IT,Espring,"[0.16866666666666644, 14.784666666666666]"
B018I2NCBA,ES,Espring,"[-0.11396702230843844, 8.051590688651794]"
B018I2NCBA,FR,Espring,"[-0.19132173913043468, 9.866852173913044]"
B018OMJGCS,DE,H&S,"[-0.056261343012704156, 13.401070780399273]"
B018OMJGCS,ES,H&S,"[1.5040588598237497e-31, 13.989999999999998]"
B018OMJGCS,UK,H&S,"[-0.0002475234414049123, 7.53801481599617]"
B018OMJGCS,US,H&S,"[0.006174953607142886, 8.221921374410714]"
B018ZBRFOY,DE,Espring,"[0.049999999999999996, 9.940000000000001]"
B0193JCAKG,DE,Espring,"[-0.2663192539769609, 16.185282501371365]"
B0193JCAKG,FR,Espring,"[0.12142857142857125, 19.394999999999992]"
B0193JCAKG,IT,Espring,"[0.37100591715976344, 16.927278106508876]"
B0193JCAKG,US,Espring,"[0.011031976299810163, 12.254275546185958]"
B01991A32K,DE,Espring,"[-0.04934586004038985, 8.547467732022128]"
B01991A32K,ES,Espring,"[0.007449209932279926, 8.649367945823927]"
B01991A32K,FR,Espring,"[3.0989383083040876e-32, 10.989999999999998]"
B019DWX2Y6,DE,Espring,"[-1.0964008489647982e-32, 13.989999999999998]"
B019DWX2Y6,ES,Espring,"[0.018941176470588194, 15.538470588235297]"
B019DWX2Y6,FR,Espring,"[-0.028564516129032276, 18.10238709677419]"
B019DWX2Y6,IT,Espring,"[0.0034735413839890998, 16.520291723202167]"
B019IYUZ1W,ES,Espring,"[-0.19805084745762722, 10.748707627118643]"
B019IYUZ1W,FR,Espring,"[-0.37315162358673704, 12.941789561840952]"
B019XSNG96,DE,Espring,"[-0.016628500968821566, 17.194315659679408]"
B019XSNG96,ES,Espring,"[-0.22114285714285722, 17.944857142857142]"
B019XSNG96,FR,Espring,"[-0.0, 20.990000000000002]"
B019XSNG96,IT,Espring,"[-0.21691176470588253, 17.861323529411763]"
B019XSNG96,US,Espring,"[0.1573083856272401, 15.314735640465948]"
B019XTF03U,DE,Espring,"[0.04621048072758771, 13.42521004763967]"
B019XTF03U,ES,Espring,"[-0.11987068965517254, 14.683362068965513]"
B019XTF03U,FR,Espring,"[0.08308250226654566, 15.92341795104261]"
