ASIN,MARKETPLACE,REGION,BRAND_NAME,MAIN_CATEGORY,SUB_CATEGORY
B07WK1M7Y8,IT,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01KKAWI72,BE,EU,Espring,Beauty & Personal Care,Makeup
B01I1HQNFE,TR,EU,Espring,"Clothing, Shoes & Jewelry",Luggage & Travel Gear
B00MVG3X6Y,UK,UK,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07V6LGWMZ,NON-AMAZON,EU,Espring,"Clothing, Shoes & Jewelry",Luggage & Travel Gear
B06XS97SKH,CA,CA,H&S,Beauty & Personal Care,Bath & Body
B098XFYB62,CA,CA,Espring,Home & Kitchen,Kitchen & Dining
B07CL38Y5B,PL,EU,Espring,Health & Household,Wellness & Relaxation
B019DWX2Y6,DE,EU,Espring,Industrial & Scientific,Food Service Equipment & Supplies
B092YSB3T2,NL,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B073D5CMT8,FR,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B072HKHJJS,IT,EU,Tritart,Home & Kitchen,Seasonal Décor
B098XFGXM4,NL,EU,Espring,Home & Kitchen,Kitchen & Dining
B07VYSC1NR,PL,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B00BVTF9GE,SE,EU,H&S,Tools & Home Improvement,Electrical
B07DW4QJX7,BE,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01M7RJXEE,BE,EU,H&S,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B08Q3CP2J5,SE,EU,Tritart,Toys & Games,Arts & Crafts
B073TRQQQT,FR,EU,H&S,Tools & Home Improvement,Building Supplies
B01J3WOZ4M,NON-AMAZON,EU,Espring,Office Products,Office & School Supplies
B07T83NWZ5,PL,EU,Espring,Tools & Home Improvement,Hardware
B01GS95CZ4,FR,EU,Espring,Office Products,Office & School Supplies
