ASIN,MARKETPLACE,BRAND_NAME,ORGANIC_UNITS_SOLD,SALE_PRICE_EUR
B01991A32K,ES,Espring,0.8076923076923077,8.655384615384616
B07V2B55JH,DE,Espring,0.5,8.666470588235295
B08B8GDLSH,US,Espring,0.5625,8.66840296225
B01N5EAVIA,IT,Tritart,1.0,8.67
B07WJNGG8J,DE,Tritart,0.9545454545454546,8.728636363636364
B06Y6F2W4Z,ES,H&S,0.30952380952380953,8.74
B06Y4ND4LX,DE,H&S,2.73972602739726,8.777671232876711
B07PNX2XJF,DE,Tritart,0.9444444444444444,8.784444444444444
B09LVDNG6S,ES,Espring,0.42857142857142855,8.8
B01HXX8RVA,US,Espring,0.515625,8.832127127718751
B00K1Q9HIE,UK,H&S,34.5632183908046,8.834291102114943
B07NTY3D93,FR,Tritart,0.06666666666666667,8.836666666666668
B07TN75FC1,DE,H&S,18.488372093023255,8.862093023255813
B0144EOR7E,IT,Espring,0.38461538461538464,8.866923076923078
B01IRAN2R2,US,Espring,0.14583333333333334,8.870912068458333
B019Y5U1G4,DE,Espring,2.604651162790698,8.87953488372093
B07V3FZDD1,DE,Espring,0.7727272727272727,8.899090909090908
B01AM85KWW,FR,Espring,0.21739130434782608,8.901304347826088
B01LWJRCVJ,US,Espring,0.72,8.921080097599999
B083KBDRSW,US,Tritart,0.21428571428571427,8.944409714517857
B07QQVMXW5,DE,Tritart,0.5294117647058824,8.966470588235294
B07DW7R9V8,UK,H&S,14.023529411764706,8.968896267658824
B07CKHXWR9,FR,H&S,0.4857142857142857,8.969999999999999
B07TN75FC1,PL,H&S,0.0,8.976888679909091
B07TQS7PDP,IT,H&S,1.1267605633802817,8.99
B07GTRCT4Z,IT,H&S,0.125,8.99
B07GTRCT4Z,FR,H&S,0.47058823529411764,8.99
B01NAHVSFS,FR,H&S,1.0,8.99
B01JXX9960,ES,H&S,1.6341463414634145,8.99
B07GN1J9RV,IT,H&S,0.23529411764705882,8.99
B07DPRTTQ9,ES,H&S,1.0,8.99
B06WD53P6D,ES,H&S,0.4117647058823529,8.99
B07CG63DK7,IT,H&S,1.0,8.99
B07DK6L9N7,ES,H&S,1.3333333333333333,8.99
B07CPD18VZ,FR,H&S,0.5409836065573771,8.99
B07WTXZ2JC,IT,H&S,0.06060606060606061,8.99
B07DW7R9V8,DE,H&S,2.3684210526315788,8.99
B014TDD94W,DE,Espring,0.7192982456140351,8.990000000000002
B07VYRT4T5,DE,Tritart,0.9583333333333334,9.060833333333333
B07SYKTLG9,FR,Espring,0.04,9.0692
B078PYYXBH,IT,H&S,0.875,9.09
B07W51S61C,IT,H&S,0.0,9.09
B0791GDKBP,UK,H&S,26.11764705882353,9.110721080282353
B07JNHB73C,UK,H&S,17.988372093023255,9.112939596023256
B07WDCV13B,ES,Tritart,0.13114754098360656,9.123442622950819
B01NATTRD3,US,H&S,1.380952380952381,9.12401985802381
B07CPD18VZ,UK,H&S,9.952941176470588,9.13098176762353
B0829B5PR6,IT,Tritart,0.47297297297297297,9.137297297297296
B07XYY42F4,DE,Tritart,4.615384615384615,9.143846153846154
B01CGDQMDM,US,Espring,0.9431818181818182,9.146192691738635
B08N18NFPW,US,Espring,0.65625,9.149543616265625
B01HZDQ5Q2,DE,Espring,0.5370370370370371,9.156666666666668
B07P4362J2,UK,Tritart,0.9491525423728814,9.17712693440678
B07V3FWL34,DE,Espring,0.6533333333333333,9.19
B06Y51KHKW,DE,H&S,1.6470588235294117,9.195882352941176
B01648O8CM,PL,H&S,1.1333333333333333,9.197400230800001
B07CG63DK7,FR,H&S,0.3968253968253968,9.204285714285714
B01N5EAVIA,FR,Tritart,0.5777777777777777,9.216666666666667
B0144EOR7E,ES,Espring,0.8888888888888888,9.22
B07XMCL1C2,PL,Tritart,0.0,9.226361032
B07V6LGKXG,DE,Espring,0.7068965517241379,9.231379310344828
B08Q3MTGFH,DE,Tritart,7.552941176470588,9.237058823529411
B073D5CMT8,FR,Tritart,0.0,9.24
B07DZ9L7KS,US,H&S,0.0,9.240610537666667
B01LIQ82OA,FR,Tritart,2.453488372093023,9.245813953488373
B07DW4QJX7,IT,H&S,0.36666666666666664,9.256666666666666
B07CKHXWR9,UK,H&S,3.9523809523809526,9.258796908333332
B06Y4ND4LX,UK,H&S,13.294117647058824,9.259299455152942
B01G6UPTUI,US,Espring,0.5576923076923077,9.265223713653846
B083KBDRSW,ES,Tritart,1.0476190476190477,9.275714285714285
B07DPRTTQ9,IT,H&S,1.0,9.29
B07JHNHW2K,FR,H&S,1.5076923076923077,9.290000000000001
