
ASIN,REGION,MARKETPLACE_NAME,COUNTRY,BRAND,MIN_CATEGORY_LEAF_NAME
B00ZYUIOQS,Europe,amazon.uk,United Kingdom,H&S,Cosmetic Bags
B00C464Z3G,Europe,amazon.uk,United Kingdom,H&S,Bats
B01NAHVSFS,Europe,amazon.uk,United Kingdom,H&S,Beauty Resolutions
B07FMDHYCK,Europe,amazon.uk,United Kingdom,H&S,Hardlines No Buyable Offer Test Q1 2016 sebasp@
B00BBL0OPS,Europe,amazon.uk,United Kingdom,H&S,Canvas Panels
B01LX315C4,Europe,amazon.uk,United Kingdom,H&S,Stops
B06XS97SKH,Europe,amazon.uk,United Kingdom,H&S,Body Brushes
B00BVFM1MS,Europe,amazon.uk,United Kingdom,H&S,Clothes Covers
B00MYKRD4K,Europe,amazon.uk,United Kingdom,H&S,Mats
B00FAZ6L4Y,Europe,amazon.uk,United Kingdom,H&S,Toys Category Page
B00TY0XZWW,Europe,amazon.uk,United Kingdom,H&S,Coat Hooks
B00BYMOIHO,Europe,amazon.uk,United Kingdom,H&S,Panniers & Rack Trunks
B01MT8B3KQ,Europe,amazon.uk,United Kingdom,H&S,Tea Filters
B086T37ZV1,Europe,amazon.uk,United Kingdom,Espring,Barware Sets
B01K0YPWEY,Europe,amazon.uk,United Kingdom,H&S,Stops
B0771G7GJT,Europe,amazon.uk,United Kingdom,H&S,Keyed Padlocks
B07XRBVXXS,Europe,amazon.fr,France,Tritart,
B08Q45WM7G,Europe,amazon.fr,France,Tritart,
B08Q449TCF,Europe,amazon.fr,France,Tritart,
B073ZMSSND,Europe,amazon.fr,France,Tritart,
B083DHG56N,Europe,amazon.fr,France,Tritart,
B08Q46SPCB,Europe,amazon.fr,France,Tritart,
B07XYX7Y43,Europe,amazon.fr,France,Tritart,
B09N3WB4HJ,Europe,amazon.fr,France,Tritart,
B092PW7WF9,Europe,amazon.fr,France,Tritart,
B08Q34XNJF,Europe,amazon.fr,France,Tritart,
B072HKHJJS,Europe,amazon.fr,France,Tritart,
B0BZQD65XM,Europe,amazon.fr,France,Tritart,
B07SWX3J6S,Europe,amazon.fr,France,Tritart,
B08WWNH8XF,Europe,amazon.fr,France,Tritart,
B0CCRKRDS3,Europe,amazon.fr,France,Tritart,
B085H4Z36Y,Europe,amazon.fr,France,Tritart,
B082ML79V3,Europe,amazon.fr,France,Tritart,
B0CCD7JW32,Europe,amazon.fr,France,Tritart,
B07DGKQ896,Europe,amazon.fr,France,Tritart,
B07WGPGK6P,Europe,amazon.fr,France,Tritart,
B09Q3B7KNC,North America,amazon.ca,Canada,Espring,Toaster Oven Cookware
B01LAUQ91M,North America,amazon.ca,Canada,Espring,Bed Mats
B0BXXJSP7P,North America,amazon.ca,Canada,Espring,Wallets
B01HXOSRYG,North America,amazon.ca,Canada,Espring,Seat Covers
B0857JRBR2,North America,amazon.ca,Canada,Espring,Tracing Paper
B08LDJBF86,North America,amazon.ca,Canada,Espring,Parchment
B019XSNG96,North America,amazon.ca,Canada,Espring,French Bread & Baguette Pans
B01ICXZED4,North America,amazon.ca,Canada,Espring,Swim Belts
B0B5R64V97,North America,amazon.ca,Canada,Espring,Copy & Multipurpose Paper
B01JA9T2N2,North America,amazon.ca,Canada,Espring,Hearing Protection
B01AAJOVH8,Europe,amazon.it,Italy,Espring,Coperte
B019XSNG96,Europe,amazon.it,Italy,Espring,Accessori e utensili per pasticceria
B07V6LNFZQ,Europe,amazon.it,Italy,Espring,Etichette per valigie
B07V3FZDD1,Europe,amazon.it,Italy,Espring,Etichette per valigie
B07TC4YGQ8,Europe,amazon.it,Italy,Espring,Corde elastiche
B084D593PN,Europe,amazon.it,Italy,Espring,Rulli di gomma piuma
B06X9VNN2P,Europe,amazon.it,Italy,Espring,Lucchetti cavo
B0876W43DH,Europe,amazon.it,Italy,Espring,Berretti in maglia
B01LPSMHS8,Europe,amazon.it,Italy,Espring,Dispositivi antifurto di bloccaggio
B01KZML92U,Europe,amazon.it,Italy,Espring,Troncarami
B09Q3B7KNC,Europe,amazon.it,Italy,Espring,Carta forno
B09QCSBBJJ,Europe,amazon.it,Italy,Espring,Carta forno
B09LVB5HM6,Europe,amazon.it,Italy,Espring,Etichette per valigie
B07WPW5TGJ,Europe,amazon.it,Italy,Espring,Cuscini propriocettivi
B0876861N4,Europe,amazon.it,Italy,Espring,Carta forno
B07PXT4CKX,Europe,amazon.it,Italy,Espring,Cuscini propriocettivi
B07Q4C2Y7K,Europe,amazon.it,Italy,Espring,Lucchetti cavo
B01MCZ2E06,Europe,amazon.it,Italy,Espring,Strumenti per lo styling
B01J1C3U1S,Europe,amazon.it,Italy,Espring,Organizer bambino per sedile auto
B01HXOSRYG,Europe,amazon.it,Italy,Espring,Fodere per sedili
B072L78BMG,Europe,amazon.it,Italy,Espring,Protezioni per sedili
B06XYPNLHS,Europe,amazon.it,Italy,Espring,Sticker da muro
B09M77GSNH,Europe,amazon.it,Italy,Espring,Utensili per la cura dei piedi
B08N18QKFK,Europe,amazon.it,Italy,Espring,Magneti
B01IN2HDRO,Europe,amazon.it,Italy,Espring,Affilacoltelli manuali
B01IP3SI3E,Europe,amazon.it,Italy,Espring,Rulli di gomma piuma
B01MSQQLCE,Europe,amazon.it,Italy,Espring,Etichette multifunzione
B0847TF6T1,Europe,amazon.it,Italy,Espring,Tappetini per taglio
B0876V6BPH,Europe,amazon.it,Italy,Espring,Berretti in maglia
B017XJWMUG,Europe,amazon.it,Italy,Espring,Pinzette
B08B3HLZWP,Europe,amazon.it,Italy,Espring,Frutta secca ricoperta di cioccolato
B07T3ZS7DL,Europe,amazon.it,Italy,Espring,Lista Nascita - Promozione 10%
B08N18QKFK,Europe,amazon.it,Italy,Espring,Lavagne e accessori
B01H2A42C2,Europe,amazon.it,Italy,Espring,Etichette per valigie
B06Y32377G,Europe,amazon.it,Italy,Espring,
B01I9P24BK,Europe,amazon.it,Italy,Espring,Cuscini propriocettivi
B01I9HCUV2,Europe,amazon.it,Italy,Espring,Acciarini
B093BBL6LF,Europe,amazon.it,Italy,Espring,Magneti
B088MG23FH,Europe,amazon.it,Italy,Espring,Lacci per scarpe
